word,entity
USD strength,@#long
USD weakness,@#short
buy,@#long
sell,@#short
bullish,@#long
bull,@#long
bear,@#short
bearish,@#short
broken,@#bad
outperforming,@#good
outperform,@#good
Underperforming,@#bad
Underperform,@#bad
core long,@#long
core short,@#short
long,@#long
short,@#short
remain firm,@#good
firm,@#good
risk-on,@#riskon
risk-off,@#riskoff
uptrend,@#up
downtrend,@#down
buying,@#long
selling,@#short
profit-taking,@#sent
stopped out,@#sent
Positive,@#good
Negative,@#bad
below,@#sent
above,@#sent
bid,@#sent
offer,@#sent
heavily,@#sent
heavy,@#sent
raise,@#sentiment
doves,@#sentiment
moderates,@#sentiment
Hawks,@#sentiment
rate hike,@#sentiment
hiked,@#sentiment
steepens,@#sentiment
hold,@#sentiment
long-end,@#sentiment
steep,@#sentiment
downsizing,@#sentiment
tapering,@#sentiment
taper,@#sentiment
Reduce,@#sentiment
decline,@#sentiment
deteriorates,@#sentiment
deteriorate,@#sentiment
under-owned,@#sentiment
over-hedged,@#sentiment
buying opportunity,@#long
Selling opportunity,@#short
dovish taper,@#sentiment
flatten,@#sentiment
biddish,@#sentiment
underweight,@#sentiment
overweight,@#sentiment
neutrality,@#sentiment
neutral,@#sentiment
priced in,@#sentiment
Little,@#sentiment
Large,@#sentiment
decoupled,@#sentiment
breaking higher,@#sentiment
lower,@#sentiment
drives,@#sentiment
driven,@#sentiment
strengthening,@#sentiment
strengthen,@#sentiment
investment opportunities,@#sentiment
Turned,@#sentiment
picking up,@#sentiment
surprisingly,@#sentiment
staying bid,@#long
retrace,@#sentiment
srategic buying,@#long
placing,##keyword
bull,@#long
bear,@#short
higher inflation rates,@#sentiment
tighten,@#sentiment
faster,@#sentiment
appreciation,@#sentiment
depreciation,@#sentiment
dampen,@#sentiment
tapering,@#sentiment
reduced,@#sentiment
accelerate,@#sentiment
losses,@#sentiment
cutting,@#sentiment
keeping,@#sentiment
warned,@#sentiment
strong global liquidity,@#sentiment
increasing signs,@#sentiment
creating,@#sentiment
weakened,@#sentiment
slowing,@#sentiment
deeper,@#sentiment
undervalued,@#sentiment
broke below,@#sentiment
constructive,@#sentiment
frustrating,@#sentiment
disappointing,@#sentiment
failing,@#sentiment
core long,@#long
recovery,@#sentiment
selloff,@#sentiment
unchanged,@#sentiment
Negative,@#sentiment
preferred,@#sentiment
essential,@#sentiment
spike,@#sentiment
rate hike pricing.,@#sentiment
Unchanged,@#sentiment
leveraged selling,@#sentiment
improving macro outlook,@#sentiment
move into,@#sentiment
skew,@#sentiment
skewed towards,@#sentiment
EURUSD,##keyword
Key Issue,##keyword
ECB,##keyword
Reduction,##keyword
asset purchases,##keyword
commitment,##keyword
QE,##keyword
Governing Council,##keyword
Signaling,##keyword
Concrete,##keyword
Base case,##keyword
scenario,##keyword
remains,##keyword
close,##keyword
risk,##keyword
extension,##keyword
remarks,##keyword
Draghi,##keyword
key interest rates,##keyword
policy,##keyword
monetary policy,##keyword
Rates Strategy,##keyword
normalization,##keyword
accommodative,##keyword
PSPP,##keyword
potential shift,##keyword
favor,##keyword
APP,##keyword
Pressure,##keyword
front-end rates,##keyword
weighted,##keyword
curve,##keyword
strategic,##keyword
express,##keyword
weigh,##keyword
weighted,##keyword
TIPS,##keyword
Particular,##keyword
steep,##keyword
prefer,##keyword
positioning,##keyword
peripheral,##keyword
supply,##keyword
demand,##keyword
dynamics,##keyword
recalibration.,##keyword
Tailwinds,##keyword
Headwind,##keyword
"sizable,",##keyword
favour,##keyword
bias,##keyword
in line,##keyword
current levels,##keyword
horizon,##keyword
technical,##keyword
keen,##keyword
size,##keyword
balance sheet,##keyword
policy support,##keyword
Governing Council (GC),##keyword
broad consensus,##keyword
large majority,##keyword
Fed funds rate,##keyword
Announced,##keyword
maturing securities.,##keyword
monetary stimulus,##keyword
substantial,##keyword
economic performance,##keyword
outcome,##keyword
core inflation,##keyword
our view,##keyword
significantly,##keyword
significant,##keyword
accommodative,##keyword
growth,##keyword
outlook,##keyword
real money account,##keyword
leverage account,##keyword
front end,##keyword
money market,##keyword
suggests,##keyword
impact,##keyword
back end yield,##keyword
suggesting,##keyword
real money investors,##keyword
bid,##keyword
offer,##keyword
offered,##keyword
trend setter,##keyword
trend follower,##keyword
rebalance,##keyword
portfolios,##keyword
upcoming,##keyword
upcoming meeting,##keyword
market reaction,##keyword
base scenario,##keyword
risk appetite,##keyword
trading behaviour,##keyword
short-term,##keyword
long-term,##keyword
rate differentials,##keyword
economic,##keyword
political outlook,##keyword
domestically,##keyword
current account surplus,##keyword
GDP,##keyword
placing,##keyword
inflation,##keyword
funding,##keyword
funding currency,##keyword
funding purposes,##keyword
rally,##keyword
retracement,##keyword
crosses,##keyword
fiscal,##keyword
noise,##keyword
link,##keyword
normalize,##keyword
spread,##keyword
global growth,##keyword
backdrop,##keyword
importance,##keyword
Eurozone,##keyword
monetary authority,##keyword
fiscal boundaries,##keyword
causing,##keyword
Real money demand,##keyword
Chancellor Merkel,##keyword
Budget,##keyword
starting signal,##keyword
new cycle highs,##keyword
vote,##keyword
lifting,##keyword
USD,##keyword
US 10y yields,##keyword
US 5y yields,##keyword
US 2y yields,##keyword
Excitement,##keyword
tax reform.,##keyword
Spain,##keyword
Catalan,##keyword
elections,##keyword
unilateral declaration of independence (UDI),##keyword
snap elections,##keyword
Spanish Senate,##keyword
adjust hedges,##keyword
momentum,##keyword
intraday volatility,##keyword
direction,##keyword
lack of progress,##keyword
slow grind back,##keyword
resistance,##keyword
trigger,##keyword
eur-cross,##keyword
challenge,##keyword
re-engage,##keyword
Bias,##keyword
CPI,##keyword
uncertainty,##keyword
bond yields,##keyword
inflation outlook,##keyword
European Central Bank,##keyword
Catalonia's autonomy,##keyword
in focus.,##keyword
Italy electoral,##keyword
PMI,##keyword
MPC,##keyword
German ZEW,##keyword
Brexit,##keyword
QE easing,##keyword
One-off,##keyword
range trading,##keyword
potentially,##keyword
Italian elections,##keyword
range-trade,##keyword
Italian election,##keyword
ECB meeting,##keyword
Pattern,##keyword
European Central Bank QE program,##keyword
knock-on,##keyword
forward guidance,##keyword
APP forward guidance,##keyword
scarcity-threatened assets,##keyword
German Bunds,##keyword
corporate and supranational bond,##keyword
FX volatility,##keyword
accommodative,##keyword
positioning,##keyword
EMU government bond,##keyword
bond purchase operations,##keyword
pace,##keyword
weighted,##keyword
weighted,##keyword
weigh,##keyword
vote,##keyword
USD,##keyword
US 5y yields,##keyword
US 2y yields,##keyword
US 10y yields,##keyword
upcoming meeting,##keyword
upcoming,##keyword
unilateral declaration of independence (UDI),##keyword
uncertainty,##keyword
trigger,##keyword
trend setter,##keyword
trend follower,##keyword
trading behaviour,##keyword
TIPS,##keyword
technical,##keyword
tax reform.,##keyword
Tailwinds,##keyword
supply,##keyword
suggests,##keyword
suggesting,##keyword
substantial,##keyword
strategic,##keyword
steep,##keyword
starting signal,##keyword
spread,##keyword
Spanish Senate,##keyword
Spain,##keyword
snap elections,##keyword
slow grind back,##keyword
size,##keyword
"sizable,",##keyword
significantly,##keyword
significant,##keyword
Signaling,##keyword
short-term,##keyword
scenario,##keyword
scarcity-threatened assets,##keyword
risk appetite,##keyword
risk,##keyword
retracement,##keyword
resistance,##keyword
remarks,##keyword
remains,##keyword
re-engage,##keyword
Reduction,##keyword
recalibration.,##keyword
rebalance,##keyword
real money investors,##keyword
Real money demand,##keyword
real money account,##keyword
Rates Strategy,##keyword
rate differentials,##keyword
range-trade,##keyword
range trading,##keyword
rally,##keyword
QE easing,##keyword
QE,##keyword
PSPP,##keyword
Pressure,##keyword
prefer,##keyword
potentially,##keyword
potential shift,##keyword
positioning,##keyword
positioning,##keyword
portfolios,##keyword
political outlook,##keyword
policy support,##keyword
policy,##keyword
PMI,##keyword
placing,##keyword
peripheral,##keyword
Pattern,##keyword
Particular,##keyword
pace,##keyword
outlook,##keyword
outcome,##keyword
our view,##keyword
One-off,##keyword
offered,##keyword
offer,##keyword
normalize,##keyword
normalization,##keyword
noise,##keyword
new cycle highs,##keyword
MPC,##keyword
money market,##keyword
monetary stimulus,##keyword
monetary policy,##keyword
monetary authority,##keyword
momentum,##keyword
maturing securities.,##keyword
market reaction,##keyword
long-term,##keyword
link,##keyword
lifting,##keyword
leverage account,##keyword
large majority,##keyword
lack of progress,##keyword
knock-on,##keyword
Key Issue,##keyword
key interest rates,##keyword
keen,##keyword
Italy electoral,##keyword
Italian elections,##keyword
Italian election,##keyword
intraday volatility,##keyword
inflation outlook,##keyword
inflation,##keyword
in line,##keyword
in focus.,##keyword
importance,##keyword
impact,##keyword
horizon,##keyword
Headwind,##keyword
growth,##keyword
Governing Council (GC),##keyword
Governing Council,##keyword
global growth,##keyword
German ZEW,##keyword
German Bunds,##keyword
GDP,##keyword
FX volatility,##keyword
funding purposes,##keyword
funding currency,##keyword
funding,##keyword
front-end rates,##keyword
front end,##keyword
forward guidance,##keyword
fiscal boundaries,##keyword
fiscal,##keyword
Fed funds rate,##keyword
favour,##keyword
favor,##keyword
extension,##keyword
express,##keyword
Excitement,##keyword
EURUSD,##keyword
Eurozone,##keyword
European Central Bank QE program,##keyword
European Central Bank,##keyword
eur-cross,##keyword
EMU government bond,##keyword
elections,##keyword
economic performance,##keyword
economic,##keyword
ECB meeting,##keyword
ECB,##keyword
dynamics,##keyword
Draghi,##keyword
domestically,##keyword
direction,##keyword
demand,##keyword
curve,##keyword
current levels,##keyword
current account surplus,##keyword
crosses,##keyword
CPI,##keyword
corporate and supranational bond,##keyword
core inflation,##keyword
Concrete,##keyword
commitment,##keyword
close,##keyword
Chancellor Merkel,##keyword
challenge,##keyword
causing,##keyword
Catalonia's autonomy,##keyword
Catalan,##keyword
Budget,##keyword
broad consensus,##keyword
Brexit,##keyword
bond yields,##keyword
bond purchase operations,##keyword
bid,##keyword
bias,##keyword
Bias,##keyword
base scenario,##keyword
Base case,##keyword
balance sheet,##keyword
backdrop,##keyword
back end yield,##keyword
asset purchases,##keyword
APP forward guidance,##keyword
APP,##keyword
Announced,##keyword
adjust hedges,##keyword
accommodative,##keyword
accommodative,##keyword
accommodative,##keyword
